Date,Adj Close,Close,High,Low,Open,Volume
2014-12-08 00:00:00+00:00,1760.555908,2637.5,2693.75,2618.75,2687.5,69020800
2014-12-09 00:00:00+00:00,1756.384155,2631.25,2662.5,2625,2631.25,43210000
2014-12-10 00:00:00+00:00,1798.103271,2693.75,2700,2637.5,2650,67644800
2014-12-11 00:00:00+00:00,1789.759155,2681.25,2700,2643.75,2643.75,65913200
2014-12-12 00:00:00+00:00,1793.93103,2687.5,2718.75,2675,2675,75546800
2014-12-15 00:00:00+00:00,1756.384155,2631.25,2662.5,2625,2650,90029600
2014-12-16 00:00:00+00:00,1706.320923,2556.25,2612.5,2543.75,2612.5,205105600
2014-12-17 00:00:00+00:00,1768.899658,2650,2662.5,2531.25,2550,97264000
2014-12-18 00:00:00+00:00,1777.243774,2662.5,2693.75,2650,2687.5,95119600
2014-12-19 00:00:00+00:00,1777.243774,2662.5,2687.5,2656.25,2687.5,93536800
2014-12-22 00:00:00+00:00,1773.071899,2656.25,2687.5,2656.25,2675,32630400
2014-12-23 00:00:00+00:00,1768.899658,2650,2681.25,2650,2675,31940800
2014-12-24 00:00:00+00:00,1785.58728,2675,2681.25,2662.5,2668.75,35045200
2014-12-29 00:00:00+00:00,1789.759155,2681.25,2693.75,2656.25,2675,28136000
2014-12-30 00:00:00+00:00,1798.103271,2693.75,2700,2668.75,2668.75,48592000
2015-01-02 00:00:00+00:00,1806.446777,2706.25,2712.5,2687.5,2693.75,84546800
2015-01-05 00:00:00+00:00,1802.275269,2700,2712.5,2687.5,2712.5,33363200
2015-01-06 00:00:00+00:00,1789.759155,2681.25,2706.25,2668.75,2687.5,58600000
2015-01-07 00:00:00+00:00,1810.619141,2712.5,2712.5,2681.25,2687.5,50244400
2015-01-08 00:00:00+00:00,1827.306763,2737.5,2743.75,2718.75,2725,63649600
2015-01-09 00:00:00+00:00,1856.510132,2781.25,2806.25,2737.5,2750,170824800
2015-01-12 00:00:00+00:00,1806.446777,2706.25,2781.25,2706.25,2756.25,53126800
2015-01-13 00:00:00+00:00,1793.93103,2687.5,2718.75,2656.25,2718.75,80360800
2015-01-14 00:00:00+00:00,1789.759155,2681.25,2750,2681.25,2706.25,59552800
2015-01-15 00:00:00+00:00,1818.963013,2725,2737.5,2687.5,2725,102689600
2015-01-16 00:00:00+00:00,1785.58728,2675,2718.75,2675,2687.5,95469200
2015-01-19 00:00:00+00:00,1789.759155,2681.25,2725,2662.5,2662.5,100006000
2015-01-20 00:00:00+00:00,1793.93103,2687.5,2687.5,2650,2668.75,146990400
2015-01-21 00:00:00+00:00,1831.478394,2743.75,2743.75,2662.5,2687.5,74948000
2015-01-22 00:00:00+00:00,1835.650391,2750,2756.25,2718.75,2743.75,71265600
2015-01-23 00:00:00+00:00,1898.22937,2843.75,2843.75,2768.75,2768.75,134785600
2015-01-26 00:00:00+00:00,1852.338257,2775,2800,2725,2787.5,150832800
2015-01-27 00:00:00+00:00,1848.166382,2768.75,2781.25,2750,2750,69340000
2015-01-28 00:00:00+00:00,1831.478394,2743.75,2793.75,2743.75,2787.5,64691600
2015-01-29 00:00:00+00:00,1831.478394,2743.75,2756.25,2731.25,2737.5,48526400
2015-01-30 00:00:00+00:00,1835.650391,2750,2812.5,2750,2781.25,98195200
2015-02-02 00:00:00+00:00,1877.369995,2812.5,2825,2737.5,2750,107672400
2015-02-03 00:00:00+00:00,1894.057739,2837.5,2843.75,2818.75,2837.5,79597600
2015-02-04 00:00:00+00:00,1898.22937,2843.75,2862.5,2800,2850,135804000
2015-02-05 00:00:00+00:00,1877.369995,2812.5,2837.5,2806.25,2831.25,111271200
2015-02-06 00:00:00+00:00,1894.057739,2837.5,2868.75,2825,2837.5,107253600
2015-02-09 00:00:00+00:00,1952.4646,2925,2956.25,2850,2850,128836000
2015-02-10 00:00:00+00:00,1939.94873,2906.25,2925,2887.5,2900,79794000
2015-02-11 00:00:00+00:00,1960.808716,2937.5,2981.25,2925,2956.25,123487600
2015-02-12 00:00:00+00:00,1964.980347,2943.75,2993.75,2937.5,2981.25,98841600
2015-02-13 00:00:00+00:00,1985.840454,2975,2987.5,2962.5,2968.75,84660800
2015-02-16 00:00:00+00:00,1964.980347,2943.75,2987.5,2937.5,2975,85716800
2015-02-17 00:00:00+00:00,1952.4646,2925,2962.5,2912.5,2943.75,28532800
2015-02-18 00:00:00+00:00,1990.012207,2981.25,3075,2968.75,3000,167238000
2015-02-20 00:00:00+00:00,2015.043701,3018.75,3050,2993.75,2993.75,74989600
2015-02-23 00:00:00+00:00,1981.668335,2968.75,3012.5,2956.25,2975,118434000
2015-02-24 00:00:00+00:00,1981.668335,2968.75,2987.5,2943.75,2950,81622800
2015-02-25 00:00:00+00:00,1985.840454,2975,2981.25,2962.5,2975,62958800
2015-02-26 00:00:00+00:00,1981.668335,2968.75,2975,2950,2950,76328800
2015-02-27 00:00:00+00:00,2002.528198,3000,3018.75,2950,2975,85468000
2015-03-02 00:00:00+00:00,2002.528198,3000,3006.25,2975,2975,96851600
2015-03-03 00:00:00+00:00,1985.840454,2975,3025,2975,3025,57682400
2015-03-04 00:00:00+00:00,1977.496338,2962.5,2987.5,2956.25,2968.75,47226000
2015-03-05 00:00:00+00:00,1973.324219,2956.25,2993.75,2950,2956.25,67612800
2015-03-06 00:00:00+00:00,2019.215698,3025,3025,2962.5,2975,77888400
2015-03-09 00:00:00+00:00,1969.152588,2950,3006.25,2937.5,3000,105046000
2015-03-10 00:00:00+00:00,2006.699829,3006.25,3018.75,2937.5,2956.25,69672800
2015-03-11 00:00:00+00:00,1981.668335,2968.75,3006.25,2962.5,2975,98384400
2015-03-12 00:00:00+00:00,1985.840454,2975,3006.25,2962.5,2962.5,45096400
2015-03-13 00:00:00+00:00,1985.840454,2975,3012.5,2950,2993.75,68090000
2015-03-16 00:00:00+00:00,2002.528198,3000,3018.75,2962.5,2975,54288000
2015-03-17 00:00:00+00:00,1998.356079,2993.75,3018.75,2981.25,3012.5,51684800
2015-03-18 00:00:00+00:00,1994.184082,2987.5,3000,2962.5,2962.5,54372400
2015-03-19 00:00:00+00:00,2035.903076,3050,3050,3000,3025,74428400
2015-03-20 00:00:00+00:00,2035.903076,3050,3075,3018.75,3025,83046000
2015-03-23 00:00:00+00:00,2031.731445,3043.75,3068.75,3043.75,3068.75,36825600
2015-03-24 00:00:00+00:00,2050.909424,3018.75,3056.25,3012.5,3037.5,59234400
2015-03-25 00:00:00+00:00,2042.416748,3006.25,3043.75,3000,3012.5,59409600
2015-03-26 00:00:00+00:00,2046.663452,3012.5,3037.5,2987.5,3006.25,49491600
2015-03-27 00:00:00+00:00,2029.678345,2987.5,3006.25,2962.5,2975,60455600
2015-03-30 00:00:00+00:00,2055.155518,3025,3075,3000,3012.5,75822800
2015-03-31 00:00:00+00:00,2118.848145,3118.75,3118.75,3062.5,3081.25,83456000
2015-04-01 00:00:00+00:00,2084.87915,3068.75,3137.5,3025,3118.75,110690000
2015-04-02 00:00:00+00:00,2084.87915,3068.75,3093.75,3006.25,3087.5,56737600
2015-04-06 00:00:00+00:00,2067.894043,3043.75,3081.25,3025,3075,64304400
2015-04-07 00:00:00+00:00,2067.894043,3043.75,3050,3018.75,3050,95657600
2015-04-08 00:00:00+00:00,2050.909424,3018.75,3050,2993.75,3050,113430800
2015-04-09 00:00:00+00:00,2038.170898,3000,3018.75,2987.5,3018.75,62660800
2015-04-10 00:00:00+00:00,2038.170898,3000,3012.5,2993.75,3006.25,52790800
2015-04-13 00:00:00+00:00,2046.663452,3012.5,3012.5,2987.5,3012.5,80286400
2015-04-14 00:00:00+00:00,2012.693848,2962.5,3000,2943.75,2975,104148800
2015-04-15 00:00:00+00:00,2046.663452,3012.5,3012.5,2956.25,2975,47940400
2015-04-16 00:00:00+00:00,2038.170898,3000,3025,2993.75,3025,55566800
2015-04-17 00:00:00+00:00,2038.170898,3000,3018.75,2981.25,3018.75,40751200
2015-04-20 00:00:00+00:00,2050.909424,3018.75,3018.75,2975,3000,44488800
2015-04-21 00:00:00+00:00,2063.647705,3037.5,3037.5,3012.5,3025,69309200
2015-04-22 00:00:00+00:00,2042.416748,3006.25,3037.5,3006.25,3037.5,44750400
2015-04-23 00:00:00+00:00,2038.170898,3000,3012.5,2987.5,2993.75,64157200
2015-04-24 00:00:00+00:00,2021.185913,2975,3018.75,2975,3006.25,53536400
2015-04-27 00:00:00+00:00,1910.785034,2812.5,2950,2775,2950,308830800
2015-04-28 00:00:00+00:00,1851.338501,2725,2743.75,2662.5,2725,279868000
2015-04-29 00:00:00+00:00,1791.891846,2637.5,2737.5,2587.5,2725,316523200
2015-04-30 00:00:00+00:00,1825.861206,2687.5,2700,2618.75,2643.75,195589600
2015-05-04 00:00:00+00:00,1898.046387,2793.75,2825,2675,2693.75,189657600
2015-05-05 00:00:00+00:00,1906.53894,2806.25,2843.75,2781.25,2800,153516400
2015-05-06 00:00:00+00:00,1936.262207,2850,2850,2756.25,2756.25,128029200
2015-05-07 00:00:00+00:00,1898.046387,2793.75,2837.5,2762.5,2781.25,111124000
2015-05-08 00:00:00+00:00,1898.046387,2793.75,2837.5,2781.25,2831.25,51254800
2015-05-11 00:00:00+00:00,1889.554443,2781.25,2825,2781.25,2793.75,34354800
2015-05-12 00:00:00+00:00,1915.031372,2818.75,2837.5,2781.25,2793.75,96191200
2015-05-13 00:00:00+00:00,1910.785034,2812.5,2825,2787.5,2787.5,138148400
2015-05-15 00:00:00+00:00,1859.830811,2737.5,2806.25,2731.25,2800,102507600
2015-05-18 00:00:00+00:00,1885.307983,2775,2787.5,2737.5,2737.5,106922000
2015-05-19 00:00:00+00:00,1902.292358,2800,2806.25,2762.5,2775,66192000
2015-05-20 00:00:00+00:00,1915.031372,2818.75,2837.5,2793.75,2825,74743200
2015-05-21 00:00:00+00:00,1974.478271,2906.25,2912.5,2812.5,2837.5,120901600
2015-05-22 00:00:00+00:00,1940.508423,2856.25,2931.25,2837.5,2925,83152000
2015-05-25 00:00:00+00:00,1893.800415,2787.5,2825,2781.25,2812.5,100023600
2015-05-26 00:00:00+00:00,1889.554443,2781.25,2825,2781.25,2787.5,88446000
2015-05-27 00:00:00+00:00,1868.323486,2750,2800,2750,2750,98622000
2015-05-28 00:00:00+00:00,1834.353516,2700,2775,2687.5,2756.25,160551600
2015-05-29 00:00:00+00:00,1830.107666,2693.75,2706.25,2681.25,2687.5,158411600
2015-06-01 00:00:00+00:00,1817.369141,2675,2706.25,2650,2700,116245200
2015-06-03 00:00:00+00:00,1791.891846,2637.5,2675,2612.5,2656.25,145928400
2015-06-04 00:00:00+00:00,1787.64563,2631.25,2650,2600,2631.25,100190400
2015-06-05 00:00:00+00:00,1813.122803,2668.75,2668.75,2612.5,2631.25,67930800
2015-06-08 00:00:00+00:00,1749.429932,2575,2656.25,2562.5,2643.75,97918000
2015-06-09 00:00:00+00:00,1689.983521,2487.5,2525,2425,2525,196405200
2015-06-10 00:00:00+00:00,1677.244873,2468.75,2518.75,2431.25,2487.5,110615600
2015-06-11 00:00:00+00:00,1643.275269,2418.75,2500,2406.25,2487.5,106057200
2015-06-12 00:00:00+00:00,1681.490967,2475,2493.75,2418.75,2425,108184000
2015-06-15 00:00:00+00:00,1600.813477,2356.25,2462.5,2356.25,2450,92020000
2015-06-16 00:00:00+00:00,1622.044678,2387.5,2418.75,2337.5,2375,93402800
2015-06-17 00:00:00+00:00,1668.752319,2456.25,2487.5,2412.5,2412.5,170708800
2015-06-18 00:00:00+00:00,1643.275269,2418.75,2493.75,2412.5,2475,116189200
2015-06-19 00:00:00+00:00,1698.47583,2500,2512.5,2462.5,2475,139460400
2015-06-22 00:00:00+00:00,1694.229492,2493.75,2525,2481.25,2518.75,51412000
2015-06-23 00:00:00+00:00,1706.96814,2512.5,2518.75,2468.75,2500,115338000
2015-06-24 00:00:00+00:00,1681.490967,2475,2562.5,2456.25,2525,136800000
2015-06-25 00:00:00+00:00,1698.47583,2500,2543.75,2468.75,2487.5,127306400
2015-06-26 00:00:00+00:00,1715.460449,2525,2537.5,2481.25,2518.75,42988000
2015-06-29 00:00:00+00:00,1702.721802,2506.25,2512.5,2475,2487.5,51673600
2015-06-30 00:00:00+00:00,1706.96814,2512.5,2543.75,2487.5,2531.25,66377600
2015-07-01 00:00:00+00:00,1698.47583,2500,2531.25,2493.75,2531.25,68338800
2015-07-02 00:00:00+00:00,1711.214111,2518.75,2537.5,2475,2475,88189600
2015-07-03 00:00:00+00:00,1728.198975,2543.75,2550,2500,2531.25,44312000
2015-07-06 00:00:00+00:00,1685.737549,2481.25,2525,2475,2506.25,40962400
2015-07-07 00:00:00+00:00,1723.952881,2537.5,2537.5,2500,2512.5,76844800
2015-07-08 00:00:00+00:00,1689.983521,2487.5,2512.5,2475,2500,68092000
2015-07-09 00:00:00+00:00,1681.490967,2475,2500,2456.25,2475,67824800
2015-07-10 00:00:00+00:00,1698.47583,2500,2512.5,2487.5,2493.75,93061200
2015-07-13 00:00:00+00:00,1706.96814,2512.5,2518.75,2493.75,2500,121620800
2015-07-14 00:00:00+00:00,1719.706543,2531.25,2550,2518.75,2525,93382000
2015-07-15 00:00:00+00:00,1698.47583,2500,2543.75,2487.5,2543.75,58466000
2015-07-22 00:00:00+00:00,1766.414551,2600,2600,2531.25,2550,146678400
2015-07-23 00:00:00+00:00,1715.460449,2525,2593.75,2525,2575,80344400
2015-07-24 00:00:00+00:00,1698.47583,2500,2525,2487.5,2512.5,101181200
2015-07-27 00:00:00+00:00,1622.044678,2387.5,2512.5,2381.25,2493.75,139128000
2015-07-28 00:00:00+00:00,1592.321045,2343.75,2356.25,2318.75,2343.75,107764400
2015-07-29 00:00:00+00:00,1613.552002,2375,2387.5,2343.75,2362.5,111259600
2015-07-30 00:00:00+00:00,1617.797974,2381.25,2412.5,2362.5,2400,115432800
2015-07-31 00:00:00+00:00,1617.797974,2381.25,2393.75,2331.25,2375,226184800
2015-08-03 00:00:00+00:00,1647.521484,2425,2431.25,2350,2350,189702800
2015-08-04 00:00:00+00:00,1617.797974,2381.25,2443.75,2368.75,2425,172058000
2015-08-05 00:00:00+00:00,1664.506104,2450,2450,2381.25,2400,182880400
2015-08-06 00:00:00+00:00,1664.506104,2450,2518.75,2437.5,2475,138502000
2015-08-07 00:00:00+00:00,1639.029053,2412.5,2443.75,2406.25,2443.75,60834400
2015-08-10 00:00:00+00:00,1617.797974,2381.25,2437.5,2362.5,2437.5,64787200
2015-08-11 00:00:00+00:00,1554.105103,2287.5,2412.5,2281.25,2406.25,166308400
2015-08-12 00:00:00+00:00,1494.658691,2200,2250,2131.25,2250,199885200
2015-08-13 00:00:00+00:00,1545.612915,2275,2293.75,2212.5,2218.75,148333600
2015-08-14 00:00:00+00:00,1528.628052,2250,2275,2237.5,2275,122529600
2015-08-18 00:00:00+00:00,1494.658691,2200,2250,2187.5,2237.5,83244000
2015-08-19 00:00:00+00:00,1477.673828,2175,2218.75,2156.25,2200,92040000
2015-08-20 00:00:00+00:00,1477.673828,2175,2175,2131.25,2150,87566000
